respondent_id,route,current_commute_min,willing_to_shift,preferred_departure_slot_evening,incentive_preference
1,Mindspace→Gachibowli,20,Yes,4:45-5:15 PM,Yes - transport stipend
2,Mindspace→Kukatpally,35,Yes,5:45-6:15 PM,Yes - small (coffee/month)
3,Gachibowli→HITEC,45,Yes,6:45-7:15 PM,None
4,Mindspace→Gachibowli,50,Yes,5:45-6:15 PM,None
5,Mindspace→Kukatpally,40,Yes,6:15-6:45 PM,Yes - small (coffee/month)
6,Mindspace→Kukatpally,40,Yes,6:45-7:15 PM,Yes - small (coffee/month)
7,Raidurg→Madhapur,30,Maybe,7:45-8:15 PM,Yes - small (coffee/month)
8,Mindspace→Kukatpally,35,Yes,5:15-5:45 PM,Yes - transport stipend
9,Madhapur→IKEA,40,Yes,5:45-6:15 PM,None
10,Mindspace→Gachibowli,30,No,5:15-5:45 PM,Yes - small (coffee/month)
11,Mindspace→Gachibowli,35,Yes,7:45-8:15 PM,None
12,Raidurg→Madhapur,35,Maybe,7:45-8:15 PM,Yes - transport stipend
13,Gachibowli→HITEC,20,Maybe,6:15-6:45 PM,Yes - transport stipend
14,Mindspace→Kukatpally,35,Yes,7:15-7:45 PM,Yes - small (coffee/month)
15,Raidurg→Madhapur,30,Yes,6:15-6:45 PM,Yes - small (coffee/month)
16,Raidurg→Madhapur,35,Yes,6:15-6:45 PM,None
17,Mindspace→Kukatpally,30,Yes,4:45-5:15 PM,Yes - small (coffee/month)
18,Madhapur→IKEA,50,Yes,6:45-7:15 PM,Yes - transport stipend
19,Gachibowli→HITEC,40,No,5:15-5:45 PM,Yes - small (coffee/month)
20,Raidurg→Madhapur,45,Yes,7:15-7:45 PM,None
21,Madhapur→IKEA,45,Yes,6:45-7:15 PM,Yes - small (coffee/month)
22,Madhapur→IKEA,40,Yes,6:45-7:15 PM,Yes - transport stipend
23,Gachibowli→HITEC,20,Maybe,4:45-5:15 PM,None
24,Gachibowli→HITEC,40,Yes,5:45-6:15 PM,None
25,Raidurg→Madhapur,40,Yes,5:15-5:45 PM,Yes - small (coffee/month)
26,Raidurg→Madhapur,45,Yes,5:45-6:15 PM,Yes - transport stipend
27,Raidurg→Madhapur,35,Maybe,4:45-5:15 PM,None
28,Gachibowli→HITEC,30,Yes,7:45-8:15 PM,None
29,Mindspace→Kukatpally,35,No,6:15-6:45 PM,None
30,Madhapur→IKEA,35,No,5:45-6:15 PM,None
31,Madhapur→IKEA,40,Yes,5:45-6:15 PM,Yes - small (coffee/month)
32,Mindspace→Kukatpally,40,No,5:45-6:15 PM,Yes - small (coffee/month)
33,Gachibowli→HITEC,35,Yes,6:15-6:45 PM,Yes - small (coffee/month)
34,Mindspace→Kukatpally,60,No,6:15-6:45 PM,Yes - small (coffee/month)
35,Mindspace→Kukatpally,40,No,7:15-7:45 PM,None
36,Gachibowli→HITEC,30,Yes,5:45-6:15 PM,Yes - transport stipend
37,Mindspace→Kukatpally,30,Yes,7:45-8:15 PM,Yes - small (coffee/month)
38,Gachibowli→HITEC,30,Maybe,7:15-7:45 PM,Yes - transport stipend
39,Gachibowli→HITEC,30,Yes,5:15-5:45 PM,Yes - small (coffee/month)
40,Mindspace→Gachibowli,30,Yes,7:45-8:15 PM,None
41,Mindspace→Kukatpally,30,Yes,4:45-5:15 PM,Yes - small (coffee/month)
42,Mindspace→Kukatpally,35,No,7:15-7:45 PM,None
43,Raidurg→Madhapur,30,No,5:45-6:15 PM,Yes - small (coffee/month)
44,Other,50,Yes,7:15-7:45 PM,None
45,Raidurg→Madhapur,20,Yes,7:15-7:45 PM,None
46,Mindspace→Kukatpally,40,Yes,7:15-7:45 PM,Yes - transport stipend
47,Raidurg→Madhapur,35,No,6:45-7:15 PM,None
48,Mindspace→Gachibowli,60,Yes,5:45-6:15 PM,Yes - transport stipend
49,Gachibowli→HITEC,30,No,4:45-5:15 PM,None
50,Mindspace→Kukatpally,35,Yes,5:45-6:15 PM,Yes - small (coffee/month)
51,Gachibowli→HITEC,60,Maybe,5:15-5:45 PM,Yes - small (coffee/month)
52,Mindspace→Gachibowli,50,Yes,6:45-7:15 PM,Yes - small (coffee/month)
53,Other,50,Yes,5:45-6:15 PM,None
54,Mindspace→Kukatpally,35,Yes,7:45-8:15 PM,None
55,Raidurg→Madhapur,30,Maybe,6:15-6:45 PM,None
56,Madhapur→IKEA,45,Maybe,7:15-7:45 PM,None
57,Mindspace→Kukatpally,60,Yes,5:15-5:45 PM,Yes - small (coffee/month)
58,Madhapur→IKEA,40,No,7:15-7:45 PM,Yes - transport stipend
59,Raidurg→Madhapur,40,Maybe,7:45-8:15 PM,Yes - transport stipend
60,Mindspace→Kukatpally,35,No,5:45-6:15 PM,Yes - small (coffee/month)
61,Mindspace→Kukatpally,45,Yes,6:15-6:45 PM,Yes - small (coffee/month)
62,Gachibowli→HITEC,30,Yes,6:45-7:15 PM,Yes - small (coffee/month)
63,Mindspace→Kukatpally,35,Yes,5:15-5:45 PM,None
64,Raidurg→Madhapur,35,Maybe,6:15-6:45 PM,Yes - transport stipend
